Id,MovieName,MoviePoster,MovieRating,PGRating,MovieDuration,ReleaseDate,Director,Actor,Writer,MovieGenre,Story
34,Clerks (1994) ,"https://m.media-amazon.com/images/M/MV5BNzE1Njk0NmItNDhlMC00ZmFlLWI4ZTUtYTY4ZjgzNjkyMTU1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",7.7,R,1h 32min," 9 November 1994 (France)
    ",Kevin Smith,"Brian O'Halloran,Jeff Anderson,Marilyn Ghigliotti",, Comedy,    Dante Hicks is not having a good day. He works as a clerk in a small convenience store and is told to come into work on his day off. Dante thinks life is a series of down endings and this day is proving to no different. He reads in the newspaper that his ex-girlfriend Caitlin is getting married. His present girlfriend reveals to have somewhat more experience with sex that he ever imagined. His principal concerns are the hockey game he has that afternoon and the wake for a friend who died. His buddy Randal Graves works as a clerk in the video store next and he hates his job just about as much as Dante hates his.
35,Disclosure (1994) ,"https://m.media-amazon.com/images/M/MV5BYzhkNjE2YTQtYWQzNS00ZTkwLTg4YzAtNjNlYTRlMGEzYjcxL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",6.1,R,2h 8min," Acoso sexual
      ",Barry Levinson,"Michael Douglas,Demi Moore,Donald Sutherland",Michael Crichton," Drama, Thriller","    Sexual harassment is the theme, but here it is the man who is harassed by his new female boss. A high-flying executive, Meredith, is out to ruin her former lover, who she's just beaten to the top job in an electronics company, using every trick in the book."
36,Dolores Claiborne (1995) ,"https://m.media-amazon.com/images/M/MV5BNzhkNjFlNDQtMDYxNy00NGU5LWE4YmItOWIyYzg5MTNmNzcxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",7.4,R,2h 12min," Dolores
      ",Taylor Hackford,"Kathy Bates,Jennifer Jason Leigh,Christopher Plummer",Stephen King," Crime, Drama, Mystery, Thriller","    Dolores Claiborne works as a maid for a wealthy woman in remote Maine. When she is indicted for the elderly woman's murder, Dolores' daughter Selena returns from New York, where she has become a big-shot reporter. In the course of working out the details of what has happened, as well as some shady questions from the past and Selena's troubled childhood, many difficult truths are revealed about their family's domestic strife. This is cleverly portrayed with present reality shot in cool blue tones blending seamlessly into flashbacks shot in vivid color. As small town justice relentlessly grinds forward, surprises lie in store for the viewers...."
37,Exotica (1994) ,"https://m.media-amazon.com/images/M/MV5BMGIxN2NiMDYtYjQ0YS00M2ViLTkzYTUtNDdhYWZmOTM0ZmJkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR0,0,182,268_AL_.jpg",7.1,R,1h 43min," Exótica
      ",Atom Egoyan,"Bruce Greenwood,Elias Koteas,Don McKellar",, Drama,"    This psychological thriller is true to its subjects as well as being complex, dynamic, and overly dramatic. How something so long ago, seemingly trivial, years later with more significant trauma, turns repressed emotions into a dysfunctional life and distorted thinking. This is all merged into a psychological menagerie that unfolds piece by piece to perfection."
38,Ed Wood (1994) ,"https://m.media-amazon.com/images/M/MV5BNTA5ZjdjNWUtZGUwNy00N2RhLWJiZmItYzFhYjU1NmYxNjY4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",7.8,R,2h 7min," Ed Vud
      ",Tim Burton,"Johnny Depp,Martin Landau,Sarah Jessica Parker","Rudolph Grey,Scott Alexander"," Biography, Comedy, Drama","    Because of his eccentric habits and bafflingly strange films, director Edward D. Wood Jr. is a Hollywood outcast. Nevertheless, with the help of the formerly famous Bela Lugosi and a devoted cast and crew of show-business misfits who believe in Ed's off-kilter vision, the filmmaker is able to bring his oversize dreams to cinematic life. Despite a lack of critical or commercial success, Ed and his friends manage to create an oddly endearing series of extremely low-budget films."
39,Hoop Dreams (1994) ,"https://m.media-amazon.com/images/M/MV5BMWMxNDAxN2QtMjQxYS00NzI4LWJlMTctOGJkNTdkNmMyYmJiXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_UY268_CR1,0,182,268_AL_.jpg",8.3,PG-13,2h 50min," Basquete Blues
      ",Steve James,"William Gates,Arthur Agee,Emma Gates",Steve James," Documentary, Drama, Sport","    This documentary follows two young African-Americans through their high school years as they perfect their skills in basketball in the hopes of getting a college scholarship and eventually play in the NBA. Arthur Agee and William Gates both show great potential and are are actively recruited as they look to enter high school. They start off at the same high school but unable to pay an unexpected bill for tuition fees, Arthur has to withdraw and go to the local public high school. The film follows them through their four years of high school and their trials and tribulations: injuries, slumps and the never ending battle to maintain their grades. Through it all, their hoop dreams continue."
40,I.Q. (1994) ,"https://m.media-amazon.com/images/M/MV5BN2VkMzZlMTctZjVlOS00NmQ1LTg1ZDItMDc5NzhlNDRhMjRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR9,0,182,268_AL_.jpg",6.2,PG,1h 40min," Fórmula para amar
      ",Fred Schepisi,"Tim Robbins,Meg Ryan,Walter Matthau","Andy Breckman,Andy Breckman"," Comedy, Romance","    Edward Walters, an auto mechanic, falls for the intelligent and beautiful Catherine Boyd. It is love at first sight. There is however a problem: she's engaged to stuffy professor James Moreland. Fortunately, Catherine's uncle likes Ed, and with his friends they scheme to make Catherine fall for Ed. The comedy in this movie stems from the fact that Catherine's uncle is none other than Albert Einstein, who's portrayed as a fun loving humble genius, as are his mischievous colleagues, Nathan, Kurt and Boris."
41,Legends of the Fall (1994) ,"https://m.media-amazon.com/images/M/MV5BMTYwMjYxNTAyN15BMl5BanBnXkFtZTgwMTc3MjkyMTE@._V1_UX182_CR0,0,182,268_AL_.jpg",7.5,R,2h 13min," Leyendas de pasión
      ",Edward Zwick,"Brad Pitt,Anthony Hopkins,Aidan Quinn","Susan Shilliday,William D. Wittliff"," Drama, Romance, War, Western","    In early twentieth century Montana, Colonel William Ludlow (Sir Anthony Hopkins) lives in the wilderness with his sons, Tristan (Brad Pitt), Alfred (Aidan Quinn), and Samuel (Henry Thomas). Eventually, the unconventional, but close-knit, family encounters tragedy when Samuel is killed in World War I. Tristan and Alfred survive their tours of duty, but, soon after they return home, both men fall for Samuel's gorgeous fiancée, Susannah (Julia Ormond), and their intense rivalry begins to destroy the family."
42,The Madness of King George (1994) ,"https://m.media-amazon.com/images/M/MV5BMTNiNzk1YjMtODViOC00MjUyLWI3MmMtZjhkMjlkYTM0NjU2XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UY268_CR0,0,182,268_AL_.jpg",7.2,PG-13,1h 50min," La folie du roi George
      ",Nicholas Hytner,"Nigel Hawthorne,Helen Mirren,Rupert Graves",Alan Bennett," Biography, Comedy, Drama, History","    Aging King George III of England is exhibiting signs of madness, a problem little understood in 1788. As the monarch alternates between bouts of confusion and near-violent outbursts of temper, his hapless doctors attempt the ineffectual cures of the day. Meanwhile, Queen Charlotte and Prime Minister William Pitt the Younger attempt to prevent the king's political enemies, led by the Prince of Wales, from usurping the throne."
43,Natural Born Killers (1994) ,"https://m.media-amazon.com/images/M/MV5BMTI2NTU2Nzc0MV5BMl5BanBnXkFtZTcwMzY1OTM2MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",7.3,R,1h 58min," Asesinos por naturaleza
      ",Oliver Stone,"Woody Harrelson,Juliette Lewis,Tom Sizemore","Quentin Tarantino,David Veloz"," Crime, Drama","    Mickey Knox and Mallory Wilson aren't your typical lovers - after killing her abusive father, they go on a road trip where, every time they stop somewhere, they kill pretty well everyone around them. They do however leave one person alive at every shootout to tell the story and they soon become a media sensation thanks to sensationalized reporting. Told in a highly visual style."
44,Outbreak (1995) ,"https://m.media-amazon.com/images/M/MV5BZTg1Mzk1NjAtNGFlOS00NzdlLWI0NTgtYzlmNTUzZGQ0NjYzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",6.6,R,2h 7min," Epidemia
      ",Wolfgang Petersen,"Dustin Hoffman,Rene Russo,Morgan Freeman",Laurence Dworet," Action, Drama, Thriller","    When a disease in Africa is discovered, Colonel Sam Daniels of the United States Army Medical Research Institute for Infectious Diseases or USAMRIID, is sent to investigate. When he reports back to his superior officer General Ford and tells him that they should put out an alert on this disease but the General that since the disease is so far away and not airborne that it can't possibly reach the U.S. However, a monkey from that part of Africa was captured and brought to the U.S. and a man who works at the customs house took it and tried to sell it but when the person he tried to sell it to rejected it he released it. Later the man who arrived in Boston collapses and dies, Col. Daniels wants to look into it but General Ford denies his request so he turns to his ex-wife, who works at the Center for Disease Control or CDC to look into and they discover it's the African disease but since it kills very quickly, Col. Daniels feels that it's been contained until another outbreak!"
45,Pulp Fiction (1994) ,"https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY268_CR1,0,182,268_AL_.jpg",8.9,R,2h 34min," 14 October 1994 (USA)
    ",Quentin Tarantino,"John Travolta,Uma Thurman,Samuel L. Jackson","Quentin Tarantino,Roger Avary"," Crime, Drama","    Jules Winnfield (Samuel L. Jackson) and Vincent Vega (John Travolta) are two hit men who are out to retrieve a suitcase stolen from their employer, mob boss Marsellus Wallace (Ving Rhames). Wallace has also asked Vincent to take his wife Mia (Uma Thurman) out a few days later when Wallace himself will be out of town. Butch Coolidge (Bruce Willis) is an aging boxer who is paid by Wallace to lose his fight. The lives of these seemingly unrelated people are woven together comprising of a series of funny, bizarre and uncalled-for incidents."
46,Priest (1994) ,"https://m.media-amazon.com/images/M/MV5BYzAyYzQ0ODQtNzNhMi00NWVkLTk1YTItODE4Y2U4YmE0NDgzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",7,R,1h 45min," 17 March 1995 (UK)
    ",Antonia Bird,"Linus Roache,Tom Wilkinson,Robert Carlyle",," Drama, Romance","    Father Greg Pilkington (Linus Roache) is torn between his call as a conservative Catholic priest and his secret life as a homosexual with a gay lover, frowned upon by the Church. Upon hearing the confession of a young girl of her incestuous father, Greg enters an intensely emotional spiritual struggle deciding between choosing morals over religion and one life over another."
47,Quiz Show (1994) ,"https://m.media-amazon.com/images/M/MV5BNTYxNjdjMzUtYzAyNC00NWJhLWFlM2EtNWM4NDBhZmQ1YjJiXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg",7.5,PG-13,2h 13min," Kviz
      ",Robert Redford,"Ralph Fiennes,John Turturro,Rob Morrow",Paul Attanasio," Biography, Drama, History","    An idealistic young lawyer working for a Congressional subcommittee in the late 1950s discovers that TV quiz shows are being fixed. His investigation focuses on two contestants on the show ""Twenty-One"": Herbert Stempel, a brash working-class Jew from Queens, and Charles Van Doren, the patrician scion of one of America's leading literary families. Based on a true story."
48,Trois couleurs: Rouge (1994) ,"https://m.media-amazon.com/images/M/MV5BYTg1MmNiMjItMmY4Yy00ZDQ3LThjMzYtZGQ0ZTQzNTdkMGQ1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",8.1,R,1h 39min,"
",Krzysztof Kieslowski,"Irène Jacob,Jean-Louis Trintignant,Frédérique Feder","Krzysztof Kieslowski,Krzysztof Piesiewicz"," Drama, Mystery, Romance","    Valentine is a young model living in Geneva. Because of a dog she ran over, she meets a retired judge who spies his neighbours' phone calls, not for money but to feed his cynicism. The film is the story of relationships between some human beings, Valentine and the judge, but also other people who may not be aware of the relationship they have with Valentine or/and the old judge. Redemption, forgiveness and compassion..."
49,Trois couleurs: Bleu (1993) ,"https://m.media-amazon.com/images/M/MV5BZGJhNDdmMWMtNzZiYy00MmFiLThjNmUtYTE1ZjRkNjdjYmQ5XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY268_CR3,0,182,268_AL_.jpg",7.9,R,1h 38min," Bleu
      ",Krzysztof Kieslowski,"Juliette Binoche,Zbigniew Zamachowski,Julie Delpy","Krzysztof Kieslowski,Krzysztof Piesiewicz"," Drama, Music, Mystery, Romance","    The first part of Kieslowski's trilogy on France's national motto: Liberty, Equality, and Fraternity. 'Blue' is the story of Julie who loses her husband, an acclaimed composer and her young daughter in a car accident. The film's theme of liberty is manifested in Julie's attempt to start life anew, free of personal commitments, belongings, grief or love. She intends to numb herself by withdrawing from the world and living completely independently, anonymously and in solitude in the Parisian metropolis. Despite her intentions, people from her former and present life intrude with their own needs. However, the reality created by the people who need and care about her, a surprising discovery and the music around which the film revolves heal Julie and draws her back to the land of the living."
50,Trois couleurs: Blanc (1994) ,"https://m.media-amazon.com/images/M/MV5BNTliYTI1YTctMTE0Mi00NDM0LThjZDgtYmY3NGNiODBjZjAwXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX182_CR0,0,182,268_AL_.jpg",7.7,R,1h 32min,"
",Krzysztof Kieslowski,"Zbigniew Zamachowski,Julie Delpy,Janusz Gajos","Krzysztof Kieslowski,Krzysztof Piesiewicz"," Comedy, Drama, Romance","    Karol (Polish) marries Dominique (French) and moves to Paris. The marriage breaks down and Dominique divorces Karol, forcing him into the life of a metro beggar and eventually back to Poland. However, he never forgets Dominique and while building a new life for himself in Warsaw he begins to plot."
51,Stargate (1994) ,"https://m.media-amazon.com/images/M/MV5BYWEyYTQzNzQtZTg5OS00NDhkLTg1NjYtMzA5Y2MyYjYzNWQ5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",7.1,PG-13,1h 56min," 28 October 1994 (USA)
    ",Roland Emmerich,"Kurt Russell,James Spader,Jaye Davidson",Dean Devlin," Action, Adventure, Sci-Fi","    In 1928, in Egypt, a strange device is found by an expedition. In the present days, the outcast linguist Dr. Daniel Jackson is invited by a mysterious woman to decipher an ancient hieroglyph in a military facility. Soon he finds that the device was developed by an advanced civilization and opens a portal to teletransport to another planet. Dr. Jackson is invited to join a military team under the command of Colonel Jonathan 'Jack' O'Neil that will explore the new world. They find a land that recalls Egypt and humans in a primitive culture that worship and are slaves to Ra, the God of the Sun. But soon they discover the secret of the mysterious ""stargate""."
